Segement_Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,ProductID,Category,Manufacturing Price
Government-USA,Amarilla,Medium,1282.0,$20.,"$25,640.",2051.2,"$23,588.8","$12,820.","$10,768.8",6/1/2014,6,6,Climate Control, $260.00 
Government-Germany,Amarilla,Medium,1366.0,$20.,"$27,320.",2185.6,"$25,134.4","$13,660.","$11,474.4",6/1/2014,6,6,Climate Control, $260.00 
Government-Germany,Amarilla,Medium,1520.0,$20.,"$30,400.",2432.0,"$27,968.","$15,200.","$12,768.",11/1/2014,11,6,Climate Control, $260.00 
Government-Mexico,Amarilla,Medium,1694.0,$20.,"$33,880.",3049.2,"$30,830.8","$16,940.","$13,890.8",11/1/2014,11,6,Climate Control, $260.00 
Government-Mexico,Amarilla,Medium,1038.0,$20.,"$20,760.",1868.4,"$18,891.6","$10,380.","$8,511.6",6/1/2014,6,6,Climate Control, $260.00 
Government-Mexico,Amarilla,High,2039.0,$20.,"$40,780.",4078.0,"$36,702.","$20,390.","$16,312.",5/1/2014,5,6,Climate Control, $260.00 
Government-Mexico,Amarilla,High,2629.0,$20.,"$52,580.",5783.8,"$46,796.2","$26,290.","$20,506.2",1/1/2014,1,6,Climate Control, $260.00 
Government-Germany,Amarilla,,1686.0,$7.,"$11,802.",0.0,"$11,802.","$8,430.","$3,372.",7/1/2014,7,6,Climate Control, $260.00 
Government-USA,Amarilla,,1143.0,$7.,"$8,001.",0.0,"$8,001.","$5,715.","$2,286.",10/1/2014,10,6,Climate Control, $260.00 
Government-Mexico,Amarilla,Medium,1683.0,$7.,"$11,781.",589.05,"$11,191.95","$8,415.","$2,776.95",7/1/2014,7,6,Climate Control, $260.00 
Government-Germany,Amarilla,Medium,1159.0,$7.,"$8,113.",405.65,"$7,707.35","$5,795.","$1,912.35",10/1/2013,10,6,Climate Control, $260.00 
Government-France,Amarilla,Medium,1403.0,$7.,"$9,821.",589.26,"$9,231.74","$7,015.","$2,216.74",10/1/2013,10,6,Climate Control, $260.00 
Government-USA,Amarilla,Medium,2907.0,$7.,"$20,349.",1627.92,"$18,721.08","$14,535.","$4,186.08",6/1/2014,6,6,Climate Control, $260.00 
Government-France,Amarilla,High,3421.5,$7.,"$23,950.5",2874.06,"$21,076.44","$17,107.5","$3,968.94",7/1/2014,7,6,Climate Control, $260.00 
Government-France,Amarilla,High,1190.0,$7.,"$8,330.",1082.9,"$7,247.1","$5,950.","$1,297.1",6/1/2014,6,6,Climate Control, $260.00 
Government-France,Amarilla,High,1731.0,$7.,"$12,117.",1696.38,"$10,420.62","$8,655.","$1,765.62",10/1/2014,10,6,Climate Control, $260.00 
Government-Mexico,Amarilla,High,1727.0,$7.,"$12,089.",1692.46,"$10,396.54","$8,635.","$1,761.54",10/1/2013,10,6,Climate Control, $260.00 
Channel Partners-USA,Amarilla,,1953.0,$12.,"$23,436.",0.0,"$23,436.","$5,859.","$17,577.",4/1/2014,4,6,Climate Control, $260.00 
Enterprise-Germany,Amarilla,,4219.5,$125.,"$527,437.5",0.0,"$527,437.5","$506,340.","$21,097.5",4/1/2014,4,6,Climate Control, $260.00 
Channel Partners-USA,Amarilla,,2141.0,$12.,"$25,692.",0.0,"$25,692.","$6,423.","$19,269.",8/1/2014,8,6,Climate Control, $260.00 
Midmarket-USA,Amarilla,,615.0,$15.,"$9,225.",0.0,"$9,225.","$6,150.","$3,075.",12/1/2014,12,6,Climate Control, $260.00 
Channel Partners-USA,Amarilla,Low,1989.0,$12.,"$23,868.",238.68,"$23,629.32","$5,967.","$17,662.32",9/1/2013,9,6,Climate Control, $260.00 
Midmarket-France,Amarilla,Low,321.0,$15.,"$4,815.",48.15,"$4,766.85","$3,210.","$1,556.85",11/1/2013,11,6,Climate Control, $260.00 
Small Business-Germany,Amarilla,Low,259.0,$300.,"$77,700.",1554.0,"$76,146.","$64,750.","$11,396.",3/1/2014,3,6,Climate Control, $260.00 
Small Business-Mexico,Amarilla,Low,1101.0,$300.,"$330,300.",6606.0,"$323,694.","$275,250.","$48,444.",3/1/2014,3,6,Climate Control, $260.00 
Enterprise-Germany,Amarilla,Low,2276.0,$125.,"$284,500.",5690.0,"$278,810.","$273,120.","$5,690.",5/1/2014,5,6,Climate Control, $260.00 
Enterprise-Mexico,Amarilla,Low,1074.0,$125.,"$134,250.",5370.0,"$128,880.","$128,880.",$0.,4/1/2014,4,6,Climate Control, $260.00 
Midmarket-USA,Amarilla,Low,671.0,$15.,"$10,065.",402.6,"$9,662.4","$6,710.","$2,952.4",10/1/2013,10,6,Climate Control, $260.00 
Channel Partners-Mexico,Amarilla,Medium,1123.0,$12.,"$13,476.",673.8,"$12,802.2","$3,369.","$9,433.2",8/1/2014,8,6,Climate Control, $260.00 
Small Business-Germany,Amarilla,Medium,1250.0,$300.,"$375,000.",18750.0,"$356,250.","$312,500.","$43,750.",12/1/2014,12,6,Climate Control, $260.00 
Enterprise-France,Amarilla,Medium,1987.5,$125.,"$248,437.5",14906.25,"$233,531.25","$238,500.","($4,968.75)",1/1/2014,1,6,Climate Control, $260.00 
Enterprise-Germany,Amarilla,Medium,994.0,$125.,"$124,250.",8697.5,"$115,552.5","$119,280.","($3,727.5)",9/1/2013,9,6,Climate Control, $260.00 
Small Business-USA,Amarilla,Medium,1372.0,$300.,"$411,600.",28812.0,"$382,788.","$343,000.","$39,788.",12/1/2014,12,6,Climate Control, $260.00 
Small Business-Mexico,Amarilla,Medium,2460.0,$300.,"$738,000.",59040.0,"$678,960.","$615,000.","$63,960.",6/1/2014,6,6,Climate Control, $260.00 
Midmarket-Germany,Amarilla,Medium,711.0,$15.,"$10,665.",853.2,"$9,811.8","$7,110.","$2,701.8",12/1/2014,12,6,Climate Control, $260.00 
Channel Partners-Mexico,Amarilla,Medium,1375.0,$12.,"$16,500.",1320.0,"$15,180.","$4,125.","$11,055.",12/1/2013,12,6,Climate Control, $260.00 
Small Business-Mexico,Amarilla,Medium,635.0,$300.,"$190,500.",15240.0,"$175,260.","$158,750.","$16,510.",12/1/2014,12,6,Climate Control, $260.00 
Midmarket-Germany,Amarilla,Medium,970.0,$15.,"$14,550.",1309.5,"$13,240.5","$9,700.","$3,540.5",11/1/2013,11,6,Climate Control, $260.00 
Channel Partners-France,Amarilla,Medium,306.0,$12.,"$3,672.",330.48,"$3,341.52",$918.,"$2,423.52",12/1/2013,12,6,Climate Control, $260.00 
Enterprise-USA,Amarilla,High,579.0,$125.,"$72,375.",7237.5,"$65,137.5","$69,480.","($4,342.5)",1/1/2014,1,6,Climate Control, $260.00 
Small Business-USA,Amarilla,High,2993.0,$300.,"$897,900.",89790.0,"$808,110.","$748,250.","$59,860.",3/1/2014,3,6,Climate Control, $260.00 
Channel Partners-Germany,Amarilla,High,2574.0,$12.,"$30,888.",3088.8,"$27,799.2","$7,722.","$20,077.2",8/1/2014,8,6,Climate Control, $260.00 
Midmarket-France,Amarilla,High,2072.0,$15.,"$31,080.",3108.0,"$27,972.","$20,720.","$7,252.",12/1/2014,12,6,Climate Control, $260.00 
Small Business-France,Amarilla,High,853.0,$300.,"$255,900.",25590.0,"$230,310.","$213,250.","$17,060.",12/1/2014,12,6,Climate Control, $260.00 
Midmarket-USA,Amarilla,High,3199.5,$15.,"$47,992.5",5279.175,"$42,713.325","$31,995.","$10,718.325",7/1/2014,7,6,Climate Control, $260.00 
Channel Partners-Germany,Amarilla,High,472.0,$12.,"$5,664.",623.04,"$5,040.96","$1,416.","$3,624.96",10/1/2014,10,6,Climate Control, $260.00 
Enterprise-Germany,Amarilla,High,3165.0,$125.,"$395,625.",43518.75,"$352,106.25","$379,800.","($27,693.75)",1/1/2014,1,6,Climate Control, $260.00 
Enterprise-France,Amarilla,High,1433.0,$125.,"$179,125.",19703.75,"$159,421.25","$171,960.","($12,538.75)",5/1/2014,5,6,Climate Control, $260.00 
Enterprise-Mexico,Amarilla,High,947.0,$125.,"$118,375.",13021.25,"$105,353.75","$113,640.","($8,286.25)",9/1/2013,9,6,Climate Control, $260.00 
Midmarket-Mexico,Amarilla,High,2157.0,$15.,"$32,355.",3559.05,"$28,795.95","$21,570.","$7,225.95",12/1/2014,12,6,Climate Control, $260.00 
Midmarket-USA,Amarilla,High,2548.0,$15.,"$38,220.",4586.4,"$33,633.6","$25,480.","$8,153.6",11/1/2013,11,6,Climate Control, $260.00 
Channel Partners-Mexico,Amarilla,High,410.0,$12.,"$4,920.",639.6,"$4,280.4","$1,230.","$3,050.4",10/1/2014,10,6,Climate Control, $260.00 
Channel Partners-Germany,Amarilla,High,1770.0,$12.,"$21,240.",2761.2,"$18,478.8","$5,310.","$13,168.8",12/1/2013,12,6,Climate Control, $260.00 
Channel Partners-France,Amarilla,High,1393.0,$12.,"$16,716.",2340.24,"$14,375.76","$4,179.","$10,196.76",10/1/2014,10,6,Climate Control, $260.00 
Channel Partners-USA,Amarilla,High,2015.0,$12.,"$24,180.",3385.2,"$20,794.8","$6,045.","$14,749.8",12/1/2013,12,6,Climate Control, $260.00 
Enterprise-USA,Amarilla,High,2844.0,$125.,"$355,500.",49770.0,"$305,730.","$341,280.","($35,550.)",5/1/2014,5,6,Climate Control, $260.00 
Channel Partners-France,Amarilla,High,2475.0,$12.,"$29,700.",4158.0,"$25,542.","$7,425.","$18,117.",8/1/2014,8,6,Climate Control, $260.00 
Channel Partners-USA,Amarilla,High,2914.0,$12.,"$34,968.",4895.52,"$30,072.48","$8,742.","$21,330.48",10/1/2014,10,6,Climate Control, $260.00 
Midmarket-Mexico,Amarilla,High,1870.0,$15.,"$28,050.",3927.0,"$24,123.","$18,700.","$5,423.",11/1/2013,11,6,Climate Control, $260.00 
Small Business-France,Amarilla,High,2475.0,$300.,"$742,500.",111375.0,"$631,125.","$618,750.","$12,375.",3/1/2014,3,6,Climate Control, $260.00 
Small Business-Mexico,Amarilla,High,546.0,$300.,"$163,800.",24570.0,"$139,230.","$136,500.","$2,730.",10/1/2014,10,6,Climate Control, $260.00 
Government-Germany,Carretera,,1513.0,$350.,"$529,550.",0.0,"$529,550.","$393,380.","$136,170.",12/1/2014,12,1,Accessories, $3.00 
Government-Mexico,Carretera,Low,1210.0,$350.,"$423,500.",4235.0,"$419,265.","$314,600.","$104,665.",3/1/2014,3,1,Accessories, $3.00 
Government-Mexico,Carretera,Low,1397.0,$350.,"$488,950.",4889.5,"$484,060.5","$363,220.","$120,840.5",10/1/2014,10,1,Accessories, $3.00 
Government-France,Carretera,Low,2155.0,$350.,"$754,250.",7542.5,"$746,707.5","$560,300.","$186,407.5",12/1/2014,12,1,Accessories, $3.00 
Government-USA,Carretera,Low,274.0,$350.,"$95,900.",3836.0,"$92,064.","$71,240.","$20,824.",12/1/2014,12,1,Accessories, $3.00 
Government-USA,Carretera,Medium,1761.0,$350.,"$616,350.",43144.5,"$573,205.5","$457,860.","$115,345.5",3/1/2014,3,1,Accessories, $3.00 
Government-Mexico,Carretera,Medium,1362.0,$350.,"$476,700.",38136.0,"$438,564.","$354,120.","$84,444.",12/1/2014,12,1,Accessories, $3.00 
Government-Germany,Carretera,High,792.0,$350.,"$277,200.",30492.0,"$246,708.","$205,920.","$40,788.",3/1/2014,3,1,Accessories, $3.00 
Government-Mexico,Carretera,High,886.0,$350.,"$310,100.",37212.0,"$272,888.","$230,360.","$42,528.",6/1/2014,6,1,Accessories, $3.00 
Government-France,Carretera,High,1790.0,$350.,"$626,500.",81445.0,"$545,055.","$465,400.","$79,655.",3/1/2014,3,1,Accessories, $3.00 
Government-Germany,Carretera,,1321.0,$20.,"$26,420.",0.0,"$26,420.","$13,210.","$13,210.",1/1/2014,1,1,Accessories, $3.00 
Government-Germany,Carretera,Low,2580.0,$20.,"$51,600.",1548.0,"$50,052.","$25,800.","$24,252.",4/1/2014,4,1,Accessories, $3.00 
Government-France,Carretera,Medium,1563.0,$20.,"$31,260.",1563.0,"$29,697.","$15,630.","$14,067.",5/1/2014,5,1,Accessories, $3.00 
Government-USA,Carretera,Medium,1117.5,$20.,"$22,350.",1341.0,"$21,009.","$11,175.","$9,834.",1/1/2014,1,1,Accessories, $3.00 
Government-Mexico,Carretera,Medium,1834.0,$20.,"$36,680.",2567.6,"$34,112.4","$18,340.","$15,772.4",9/1/2013,9,1,Accessories, $3.00 
Government-Germany,Carretera,Medium,663.0,$20.,"$13,260.",1193.4,"$12,066.6","$6,630.","$5,436.6",5/1/2014,5,1,Accessories, $3.00 
Government-France,Carretera,High,2521.5,$20.,"$50,430.",6051.6,"$44,378.4","$25,215.","$19,163.4",1/1/2014,1,1,Accessories, $3.00 
Government-Germany,Carretera,High,442.0,$20.,"$8,840.",1149.2,"$7,690.8","$4,420.","$3,270.8",9/1/2013,9,1,Accessories, $3.00 
Government-Mexico,Carretera,High,2579.0,$20.,"$51,580.",7221.2,"$44,358.8","$25,790.","$18,568.8",4/1/2014,4,1,Accessories, $3.00 
Government-USA,Carretera,High,1743.0,$20.,"$34,860.",4880.4,"$29,979.6","$17,430.","$12,549.6",5/1/2014,5,1,Accessories, $3.00 
Government-USA,Carretera,Low,2529.0,$7.,"$17,703.",177.03,"$17,525.97","$12,645.","$4,880.97",7/1/2014,7,1,Accessories, $3.00 
Government-France,Carretera,Low,2145.0,$7.,"$15,015.",300.3,"$14,714.7","$10,725.","$3,989.7",11/1/2013,11,1,Accessories, $3.00 
Government-Germany,Carretera,Medium,1016.0,$7.,"$7,112.",355.6,"$6,756.4","$5,080.","$1,676.4",11/1/2013,11,1,Accessories, $3.00 
Government-USA,Carretera,Medium,570.0,$7.,"$3,990.",199.5,"$3,790.5","$2,850.",$940.5,12/1/2014,12,1,Accessories, $3.00 
Government-France,Carretera,Medium,2487.0,$7.,"$17,409.",870.45,"$16,538.55","$12,435.","$4,103.55",12/1/2014,12,1,Accessories, $3.00 
Government-USA,Carretera,Medium,263.0,$7.,"$1,841.",110.46,"$1,730.54","$1,315.",$415.54,11/1/2013,11,1,Accessories, $3.00 
Government-Mexico,Carretera,Medium,521.0,$7.,"$3,647.",328.23,"$3,318.77","$2,605.",$713.77,12/1/2014,12,1,Accessories, $3.00 
Government-Mexico,Carretera,High,2706.0,$7.,"$18,942.",2083.62,"$16,858.38","$13,530.","$3,328.38",11/1/2013,11,1,Accessories, $3.00 
Government-USA,Carretera,High,2996.0,$7.,"$20,972.",2936.08,"$18,035.92","$14,980.","$3,055.92",10/1/2013,10,1,Accessories, $3.00 
Government-Germany,Carretera,High,280.0,$7.,"$1,960.",274.4,"$1,685.6","$1,400.",$285.6,12/1/2014,12,1,Accessories, $3.00 
Midmarket-France,Carretera,,2178.0,$15.,"$32,670.",0.0,"$32,670.","$21,780.","$10,890.",6/1/2014,6,1,Accessories, $3.00 
Midmarket-Germany,Carretera,,888.0,$15.,"$13,320.",0.0,"$13,320.","$8,880.","$4,440.",6/1/2014,6,1,Accessories, $3.00 
Midmarket-Mexico,Carretera,,2470.0,$15.,"$37,050.",0.0,"$37,050.","$24,700.","$12,350.",6/1/2014,6,1,Accessories, $3.00 
Channel Partners-USA,Carretera,Low,1858.0,$12.,"$22,296.",222.96,"$22,073.04","$5,574.","$16,499.04",2/1/2014,2,1,Accessories, $3.00 
Enterprise-USA,Carretera,Low,330.0,$125.,"$41,250.",412.5,"$40,837.5","$39,600.","$1,237.5",9/1/2013,9,1,Accessories, $3.00 
Channel Partners-France,Carretera,Low,2671.0,$12.,"$32,052.",320.52,"$31,731.48","$8,013.","$23,718.48",9/1/2014,9,1,Accessories, $3.00 
Channel Partners-Germany,Carretera,Low,766.0,$12.,"$9,192.",91.92,"$9,100.08","$2,298.","$6,802.08",10/1/2013,10,1,Accessories, $3.00 
Small Business-Mexico,Carretera,Low,494.0,$300.,"$148,200.",1482.0,"$146,718.","$123,500.","$23,218.",10/1/2013,10,1,Accessories, $3.00 
Small Business-Germany,Carretera,Low,214.0,$300.,"$64,200.",1284.0,"$62,916.","$53,500.","$9,416.",10/1/2013,10,1,Accessories, $3.00 
Enterprise-France,Carretera,Low,4243.5,$125.,"$530,437.5",15913.125,"$514,524.375","$509,220.","$5,304.375",4/1/2014,4,1,Accessories, $3.00 
Small Business-Germany,Carretera,Low,689.0,$300.,"$206,700.",6201.0,"$200,499.","$172,250.","$28,249.",6/1/2014,6,1,Accessories, $3.00 
Channel Partners-USA,Carretera,Low,1947.0,$12.,"$23,364.",700.92,"$22,663.08","$5,841.","$16,822.08",9/1/2014,9,1,Accessories, $3.00 
Small Business-Germany,Carretera,Low,2021.0,$300.,"$606,300.",24252.0,"$582,048.","$505,250.","$76,798.",10/1/2014,10,1,Accessories, $3.00 
Channel Partners-France,Carretera,Medium,1865.0,$12.,"$22,380.",1119.0,"$21,261.","$5,595.","$15,666.",2/1/2014,2,1,Accessories, $3.00 
Channel Partners-Germany,Carretera,Medium,1116.0,$12.,"$13,392.",669.6,"$12,722.4","$3,348.","$9,374.4",2/1/2014,2,1,Accessories, $3.00 
Small Business-USA,Carretera,Medium,991.0,$300.,"$297,300.",14865.0,"$282,435.","$247,750.","$34,685.",6/1/2014,6,1,Accessories, $3.00 
Midmarket-Mexico,Carretera,Medium,2791.0,$15.,"$41,865.",2093.25,"$39,771.75","$27,910.","$11,861.75",11/1/2014,11,1,Accessories, $3.00 
Channel Partners-Mexico,Carretera,Medium,562.0,$12.,"$6,744.",404.64,"$6,339.36","$1,686.","$4,653.36",9/1/2014,9,1,Accessories, $3.00 
Midmarket-USA,Carretera,Medium,2030.0,$15.,"$30,450.",1827.0,"$28,623.","$20,300.","$8,323.",11/1/2014,11,1,Accessories, $3.00 
Enterprise-Germany,Carretera,Medium,887.0,$125.,"$110,875.",6652.5,"$104,222.5","$106,440.","($2,217.5)",12/1/2013,12,1,Accessories, $3.00 
Channel Partners-Mexico,Carretera,Medium,727.0,$12.,"$8,724.",610.68,"$8,113.32","$2,181.","$5,932.32",2/1/2014,2,1,Accessories, $3.00 
Small Business-France,Carretera,Medium,448.0,$300.,"$134,400.",9408.0,"$124,992.","$112,000.","$12,992.",6/1/2014,6,1,Accessories, $3.00 
Small Business-France,Carretera,Medium,2181.0,$300.,"$654,300.",45801.0,"$608,499.","$545,250.","$63,249.",10/1/2014,10,1,Accessories, $3.00 
Enterprise-Mexico,Carretera,Medium,1540.0,$125.,"$192,500.",15400.0,"$177,100.","$184,800.","($7,700.)",8/1/2014,8,1,Accessories, $3.00 
Midmarket-France,Carretera,Medium,490.0,$15.,"$7,350.",588.0,"$6,762.","$4,900.","$1,862.",11/1/2014,11,1,Accessories, $3.00 
Channel Partners-Mexico,Carretera,Medium,367.0,$12.,"$4,404.",396.36,"$4,007.64","$1,101.","$2,906.64",10/1/2013,10,1,Accessories, $3.00 
Channel Partners-Germany,Carretera,Medium,1580.0,$12.,"$18,960.",1706.4,"$17,253.6","$4,740.","$12,513.6",9/1/2014,9,1,Accessories, $3.00 
Channel Partners-USA,Carretera,High,386.0,$12.,"$4,632.",463.2,"$4,168.8","$1,158.","$3,010.8",10/1/2013,10,1,Accessories, $3.00 
Enterprise-USA,Carretera,High,3445.5,$125.,"$430,687.5",43068.75,"$387,618.75","$413,460.","($25,841.25)",4/1/2014,4,1,Accessories, $3.00 
Enterprise-France,Carretera,High,1482.0,$125.,"$185,250.",18525.0,"$166,725.","$177,840.","($11,115.)",12/1/2013,12,1,Accessories, $3.00 
Channel Partners-France,Carretera,High,1198.0,$12.,"$14,376.",1581.36,"$12,794.64","$3,594.","$9,200.64",10/1/2013,10,1,Accessories, $3.00 
Small Business-Germany,Carretera,High,2811.0,$300.,"$843,300.",92763.0,"$750,537.","$702,750.","$47,787.",7/1/2014,7,1,Accessories, $3.00 
Enterprise-France,Carretera,High,2441.0,$125.,"$305,125.",33563.75,"$271,561.25","$292,920.","($21,358.75)",10/1/2014,10,1,Accessories, $3.00 
Enterprise-Mexico,Carretera,High,2156.0,$125.,"$269,500.",32340.0,"$237,160.","$258,720.","($21,560.)",10/1/2014,10,1,Accessories, $3.00 
Midmarket-USA,Carretera,High,2567.0,$15.,"$38,505.",5005.65,"$33,499.35","$25,670.","$7,829.35",6/1/2014,6,1,Accessories, $3.00 
Small Business-Mexico,Carretera,High,801.0,$300.,"$240,300.",33642.0,"$206,658.","$200,250.","$6,408.",7/1/2014,7,1,Accessories, $3.00 
Enterprise-France,Carretera,High,1023.0,$125.,"$127,875.",17902.5,"$109,972.5","$122,760.","($12,787.5)",9/1/2013,9,1,Accessories, $3.00 
Small Business-USA,Carretera,High,1010.0,$300.,"$303,000.",42420.0,"$260,580.","$252,500.","$8,080.",10/1/2014,10,1,Accessories, $3.00 
Midmarket-Germany,Carretera,High,1513.0,$15.,"$22,695.",3177.3,"$19,517.7","$15,130.","$4,387.7",11/1/2014,11,1,Accessories, $3.00 
Enterprise-Mexico,Carretera,High,2821.0,$125.,"$352,625.",49367.5,"$303,257.5","$338,520.","($35,262.5)",12/1/2013,12,1,Accessories, $3.00 
Enterprise-France,Carretera,High,1174.0,$125.,"$146,750.",22012.5,"$124,737.5","$140,880.","($16,142.5)",8/1/2014,8,1,Accessories, $3.00 
Enterprise-Germany,Carretera,High,2767.0,$125.,"$345,875.",51881.25,"$293,993.75","$332,040.","($38,046.25)",8/1/2014,8,1,Accessories, $3.00 
Enterprise-Germany,Carretera,High,1085.0,$125.,"$135,625.",20343.75,"$115,281.25","$130,200.","($14,918.75)",10/1/2014,10,1,Accessories, $3.00 
Government-Canada,Carretera,Low,2852.0,$350.,"$998,200.",19964.0,"$978,236.","$741,520.","$236,716.",12/1/2014,12,1,Accessories, $3.00 
Government-Canada,Carretera,High,923.0,$350.,"$323,050.",41996.5,"$281,053.5","$239,980.","$41,073.5",3/1/2014,3,1,Accessories, $3.00 
Government-Canada,Carretera,,1618.5,$20.,"$32,370.",0.0,"$32,370.","$16,185.","$16,185.",1/1/2014,1,1,Accessories, $3.00 
Government-Canada,Carretera,Low,831.0,$20.,"$16,620.",498.6,"$16,121.4","$8,310.","$7,811.4",5/1/2014,5,1,Accessories, $3.00 
Government-Canada,Carretera,Low,2851.0,$7.,"$19,957.",798.28,"$19,158.72","$14,255.","$4,903.72",10/1/2013,10,1,Accessories, $3.00 
Government-Canada,Carretera,Medium,819.0,$7.,"$5,733.",515.97,"$5,217.03","$4,095.","$1,122.03",7/1/2014,7,1,Accessories, $3.00 
